date_jst,trades,sum_pips,avg_pips,win_rate,macro_pips,micro_pips
2025-09-04,2,25.0,12.5,0.5,30.0,-5.0
2025-09-23,1,0.899999999998613,0.899999999998613,1.0,0.899999999998613,0.0
2025-09-24,5,327.30000000000246,65.46000000000049,1.0,327.30000000000246,0.0
2025-09-25,6,14.099999999999113,2.349999999999852,1.0,14.099999999999113,0.0
2025-09-26,3,99.10000000000423,33.033333333334745,1.0,99.10000000000423,0.0
2025-09-29,7,-151.5999999999991,-21.65714285714273,0.5714285714285714,-151.5999999999991,0.0
2025-09-30,53,-253.09999999999775,-4.775471698113165,0.4339622641509434,-253.09999999999775,0.0
2025-10-01,59,68.60000000001776,1.1627118644070806,0.576271186440678,68.60000000001776,0.0
2025-10-02,56,-7.299999999983697,-0.13035714285685174,0.5178571428571429,-7.299999999983697,0.0
2025-10-03,36,-56.60000000000309,-1.5722222222223081,0.4444444444444444,-56.60000000000309,0.0
2025-10-06,28,26.10000000000241,0.9321428571429432,1.0,26.10000000000241,0.0
2025-10-07,19,18.400000000002592,0.9684210526317154,1.0,18.400000000002592,0.0
2025-10-08,72,3541.200000000015,49.183333333333536,0.9166666666666666,3541.200000000015,0.0
2025-10-09,46,-113.19999999998959,-2.460869565217165,0.9347826086956522,12.300000000010414,-125.50000000000001
2025-10-10,28,-255.9,-9.139285714285714,0.5714285714285714,0.0,-255.9
2025-10-11,4,-277.7,-69.425,0.0,0.0,-277.7
2025-10-14,150,-18.900000000000002,-0.3315789473684211,0.16666666666666666,0.0,-18.900000000000002
2025-10-15,83,70.8,0.8530120481927711,0.5903614457831325,0.0,70.8
