strategy,close_reason,ticket_id,realized_pl,pl_pips
BB_RSI,MARKET_ORDER,1,0.9,4.500000000001592
BB_RSI,STOP_LOSS_ORDER,2,-11.572,-16.399999999998727
BB_RSI,TAKE_PROFIT_ORDER,1,2.38,11.899999999999977
MicroTrendPullback,MARKET_ORDER,12,40.588,32.79999999999745
MicroTrendPullback,STOP_LOSS_ORDER,6,-62.886,-50.000000000005684
ScalpMeanRevert,MARKET_ORDER,1,11.5,2.2999999999996135
ScalpMeanRevert,MARKET_ORDER_MARGIN_CLOSEOUT,65,-292.2,-33.59999999999843
ScalpMeanRevert,MARKET_ORDER_TRADE_CLOSE,3,-134.0,-13.399999999998613
ScalpMeanRevert,STOP_LOSS_ORDER,831,-22545.342,-2649.800000000019
ScalpMeanRevert,TAKE_PROFIT_ORDER,561,12516.315,1471.3000000000052
TrendMA,MARKET_ORDER,21,25.884,67.99999999999784
TrendMA,MARKET_ORDER_TRADE_CLOSE,6,-6.130000000000001,-35.09999999999991
TrendMA,STOP_LOSS_ORDER,2,-3.62,-18.099999999998317
