strategy,result,count,realized_pl,avg_pips,mfe15,mae15,pre_range15,post_return15,hold_sec
BB_RSI,loss,2,-11.572,-8.199999999999363,3.900000000000148,10.04999999999967,18.850000000000477,1.5500000000002956,501.306016148
BB_RSI,win,2,3.28,8.200000000000784,9.300000000000352,2.4499999999974875,14.149999999997931,7.600000000000762,1244.763620646
MicroTrendPullback,loss,8,-93.54599999999999,-7.375000000000753,5.124999999999957,10.137500000001154,12.712499999999949,-3.900000000000503,570.6536902390001
MicroTrendPullback,win,11,44.368,3.036363636363407,7.872727272726624,5.936363636363819,12.50909090909147,0.33636363636369215,290.306560225
ScalpMeanRevert,flat,5,0.0,0.0,4.959999999999809,9.739999999999895,15.320000000000391,-2.0199999999994134,
ScalpMeanRevert,loss,878,-23053.542,-3.080865603644655,3.5656036446468744,10.48690205011395,15.186218678815408,-4.658086560364486,
ScalpMeanRevert,win,578,12609.815,2.5636678200691967,8.502595155709354,4.3944636678200215,14.76833910034586,2.963148788927298,
TrendMA,loss,9,-11.99,-6.533333333333265,2.5555555555560736,9.999999999999748,10.855555555555599,-4.944444444444053,309.184122882
TrendMA,win,20,28.124,3.67999999999995,7.989999999999355,5.580000000000354,9.974999999999739,2.379999999999569,511.2073425155
